"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"1861"	5	33	12	12	7	18	6	4	0	2	21	5	358	1	7	10	7	3	7	18	3	5	13	8	0	0	0	9	7	46	8	6	4	7	2	21	1	36	12	161	1	12	20	15	6	13	5	0	0	3	2	5	2	15	2	3	1	1	1	8	14	5	2	6	6	4	3	28	10	1	60	30	2	6	21	9	0	1	10	38	5	2	71	2	8	0	9	0	8	4	10	4	13	3	5	10	1	4	2	3
"1863"	8	35	11	6	4	18	6	7	0	2	29	1	353	3	3	16	8	2	7	16	5	7	12	2	0	1	0	3	6	40	10	1	1	7	7	23	1	38	19	165	2	5	20	13	6	10	6	0	1	3	3	6	2	10	1	6	1	2	6	6	7	0	2	2	11	4	4	24	7	1	54	26	4	8	19	6	2	1	10	36	5	2	73	5	8	2	9	0	2	5	12	2	18	4	6	12	0	11	6	3
"1892"	4	41	5	12	9	27	2	8	0	2	12	1	362	2	4	7	6	1	9	12	3	2	14	3	0	4	0	5	9	58	18	5	3	12	1	20	2	28	12	167	3	8	26	11	8	13	6	1	1	3	0	1	1	6	3	4	1	3	4	1	10	0	0	4	7	7	5	40	5	2	52	33	0	10	33	7	0	2	12	25	7	2	52	5	8	1	5	0	4	2	20	2	10	12	5	14	0	5	7	5
"1901"	9	26	10	12	4	21	2	5	0	0	14	2	323	0	6	6	7	3	3	9	7	4	10	2	0	2	0	3	8	62	14	3	1	10	5	19	5	32	9	169	3	1	20	15	9	17	7	2	1	9	3	11	2	6	0	5	6	2	7	9	4	2	0	3	9	1	3	30	7	1	68	31	4	4	22	12	1	2	7	32	6	3	71	6	14	1	7	2	1	6	11	2	10	8	7	16	0	11	8	3
"1907"	4	23	14	14	10	26	2	5	0	2	16	2	323	1	6	5	6	3	6	12	4	5	7	4	0	1	0	2	7	61	9	5	4	14	5	18	6	36	9	169	1	7	19	19	6	9	9	3	0	5	0	6	0	6	0	6	0	0	7	2	12	3	1	9	8	5	1	24	15	1	62	35	3	4	20	14	0	1	17	35	4	1	55	8	9	0	9	3	2	7	10	1	17	8	4	13	0	10	10	4
"1923"	2	33	4	12	7	26	5	5	0	3	14	5	358	0	5	6	6	2	5	7	1	7	10	3	0	2	1	1	5	48	15	6	3	9	2	24	1	30	18	176	4	6	17	12	5	16	5	1	1	3	2	5	2	6	0	5	2	1	7	4	7	3	2	3	6	2	1	38	10	2	60	39	2	12	21	7	0	3	5	34	4	0	65	6	14	0	6	2	8	9	9	2	5	7	3	17	0	8	5	2
"1926"	4	33	6	7	5	26	2	10	0	2	11	2	362	1	3	7	6	1	7	16	3	4	11	2	0	1	1	3	6	49	4	3	3	13	4	24	0	26	12	179	1	8	19	14	7	18	4	0	5	3	2	8	4	6	1	3	5	1	6	6	9	2	1	5	15	4	2	33	8	0	66	42	3	6	21	10	0	4	4	36	5	1	67	1	4	1	4	0	0	9	16	4	7	8	6	14	0	8	5	4
"1941"	5	33	14	7	4	26	6	8	0	3	10	6	337	4	3	6	4	1	5	11	4	9	5	1	0	2	0	4	9	55	12	5	5	8	2	28	3	39	12	184	3	5	16	8	6	10	9	0	0	5	1	6	0	8	2	5	2	1	6	7	8	2	0	4	10	4	1	41	8	0	62	37	4	7	23	8	0	0	12	32	6	0	69	3	8	0	11	0	2	4	15	3	10	7	2	11	1	10	3	6
"1943"	5	30	10	8	5	30	4	6	0	1	16	2	336	5	1	9	1	1	8	8	2	3	11	4	0	5	0	4	4	53	7	8	3	14	3	35	0	40	15	182	2	11	17	15	7	12	5	0	0	6	1	5	0	6	2	2	1	0	3	11	18	3	2	2	12	6	3	38	5	1	65	37	4	2	28	14	0	0	13	32	5	1	66	2	10	1	6	1	2	6	13	6	18	5	2	12	0	5	5	6
"1944"	2	29	8	4	4	32	3	5	0	1	17	4	337	3	4	4	4	2	4	13	3	10	12	3	0	0	0	4	0	64	7	6	1	15	5	33	1	37	10	184	3	7	12	18	6	13	5	0	1	5	1	5	0	6	1	6	3	2	0	8	10	3	2	9	11	5	3	38	9	2	65	35	4	6	24	12	0	0	12	31	9	2	69	1	10	2	7	2	3	8	13	3	18	4	2	11	0	9	4	6
"1947"	3	37	9	7	6	30	3	3	0	3	15	3	356	1	4	10	5	0	1	15	4	11	9	1	0	3	0	3	7	60	10	4	2	7	3	28	2	33	8	186	1	6	13	15	11	19	5	0	1	7	1	1	1	7	2	3	2	1	3	5	9	2	1	3	16	2	0	32	10	3	58	28	4	6	28	7	0	1	9	27	5	1	71	4	8	0	7	1	1	7	10	5	18	6	4	13	0	8	6	4
"1955"	6	27	11	9	7	29	0	4	0	2	12	2	337	3	2	7	4	5	5	11	5	6	9	5	1	1	0	2	7	57	7	2	4	7	1	40	0	27	8	175	6	5	22	13	4	11	6	3	0	2	7	2	2	5	1	3	1	1	2	6	13	2	0	7	16	5	2	30	10	1	66	31	0	10	22	8	0	2	15	33	4	2	65	5	9	2	6	1	2	6	14	3	10	7	4	9	0	11	5	5
"1957"	6	33	11	11	8	26	1	6	0	0	11	3	339	2	4	7	6	5	9	11	9	7	11	8	1	2	0	3	1	56	7	1	4	6	2	41	0	28	7	186	3	4	20	10	4	12	6	1	0	1	4	4	1	4	3	8	2	1	5	7	9	2	0	5	10	5	3	26	11	2	60	30	3	8	24	6	0	0	9	31	6	0	63	5	10	1	5	1	6	2	17	9	11	6	3	6	1	10	5	7
"1964"	4	31	7	15	7	23	4	3	0	2	28	4	361	2	6	7	7	2	7	6	5	11	9	2	0	1	0	3	3	58	5	5	2	13	5	29	1	35	14	192	3	5	18	15	5	14	7	0	2	1	2	9	3	8	1	6	3	0	4	7	7	4	0	2	9	2	2	25	6	0	71	22	2	5	21	8	0	3	6	29	4	3	67	2	6	0	7	1	1	5	12	2	10	3	6	12	0	5	6	2
"1980"	3	33	3	13	10	26	2	6	0	1	8	4	324	2	5	11	7	5	7	11	1	4	13	0	0	1	0	4	6	52	9	5	5	10	5	22	4	39	6	171	3	8	18	14	10	13	5	0	1	1	0	3	1	9	3	4	1	3	3	11	11	3	0	5	14	1	0	28	10	1	54	35	2	9	19	12	0	0	11	26	5	0	68	7	6	0	6	1	4	7	17	5	12	7	5	14	0	9	7	2
"1988"	4	29	9	6	7	22	2	6	1	3	13	2	331	3	6	1	12	1	6	15	5	2	8	1	0	1	0	2	12	71	16	7	8	5	6	22	4	37	20	198	1	3	25	12	5	18	3	0	0	4	1	4	4	7	1	4	1	3	7	6	12	1	1	5	9	4	5	30	6	0	48	33	5	8	18	4	1	4	16	23	6	0	72	2	3	0	7	0	2	11	16	3	18	4	6	12	0	6	6	6
"1995"	9	44	8	3	7	17	3	0	0	1	13	4	359	5	6	7	4	2	5	12	2	6	9	3	0	3	0	3	5	66	10	10	8	10	3	30	2	38	18	205	3	8	13	14	2	12	1	0	1	1	1	3	2	6	0	4	1	2	3	6	6	0	0	3	8	2	1	27	7	2	50	29	5	2	25	9	0	5	15	32	7	2	67	4	3	1	5	1	4	5	11	1	12	3	3	10	3	5	4	4
